,kind,etag,id,snippet,status,contentDetails,player
35,youtube#playlist,zE1YpaKeOyrE0aQqXruN1MTZakc,PLKnIA16_Rmvb1RYR-iTA_hzckhdONtSW4,"{'publishedAt': '2021-06-11T10:06:56Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': '100 Days of Python Programming', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/u1RKh1kQqaE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/u1RKh1kQqaE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/u1RKh1kQqaE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/u1RKh1kQqaE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/u1RKh1kQqaE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': '100 Days of Python Programming', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 43},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_Rmvb1RYR-iTA_hzckhdONtSW4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
36,youtube#playlist,JOPqWvPpBZVDWdG7pF333kXgXIk,PLKnIA16_RmvZcoNprihRnFNlu8vxZrP8L,"{'publishedAt': '2021-05-23T02:50:35Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Ecommerce Application using MERN stack', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/LFeT32e13AM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LFeT32e13AM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LFeT32e13AM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/LFeT32e13AM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/LFeT32e13AM/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Ecommerce Application using MERN stack', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 18},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvZcoNprihRnFNlu8vxZrP8L"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
37,youtube#playlist,lqr7qC4APa4wl4lHyBBXUe-PTM0,PLKnIA16_RmvYZTbtlMAy82T57HdL7LG5z,"{'publishedAt': '2021-05-23T02:45:13Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Nodejs', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/rt8TyYA3__k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rt8TyYA3__k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rt8TyYA3__k/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rt8TyYA3__k/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/rt8TyYA3__k/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Nodejs', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 6},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYZTbtlMAy82T57HdL7LG5z"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
38,youtube#playlist,2H_mX34kdT6gOPOS13KpkhHSa7s,PLKnIA16_RmvZ4TXS8aMhMkk_Xbf5nI72_,"{'publishedAt': '2021-05-23T02:23:45Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Reactjs', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/8FaUvSe_fWE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8FaUvSe_fWE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8FaUvSe_fWE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8FaUvSe_fWE/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Reactjs', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 15},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvZ4TXS8aMhMkk_Xbf5nI72_"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
39,youtube#playlist,i7fU5K6tck5kn5xTACgZf1FThb8,PLKnIA16_RmvaeOke8cZBroU-ZONUIhi8H,"{'publishedAt': '2021-05-23T02:21:13Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Firebase Expense Tracker Project', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/dOfsj5eAF6c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dOfsj5eAF6c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dOfsj5eAF6c/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dOfsj5eAF6c/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Firebase Expense Tracker Project', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 4},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvaeOke8cZBroU-ZONUIhi8H"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
40,youtube#playlist,LIT_HQjO71KUyMm_QeVCDyR6ByY,PLKnIA16_RmvYQCXvDZmiVwJ0l8Bg0ZGCG,"{'publishedAt': '2021-05-23T02:18:58Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Object Oriented Javascript', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/AO6ElqaDn-o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AO6ElqaDn-o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AO6ElqaDn-o/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/AO6ElqaDn-o/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Object Oriented Javascript', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 2},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYQCXvDZmiVwJ0l8Bg0ZGCG"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
41,youtube#playlist,LiXhCGzKJxu0VBwzbEFT1sgFJFE,PLKnIA16_RmvalFVAuVdLVFSqg50cwotk0,"{'publishedAt': '2021-04-11T01:06:55Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Feature Scaling', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1Yw9sC0PNwY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1Yw9sC0PNwY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1Yw9sC0PNwY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/1Yw9sC0PNwY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/1Yw9sC0PNwY/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Feature Scaling', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 2},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvalFVAuVdLVFSqg50cwotk0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
42,youtube#playlist,1SXh_ckPPt9fr2X6JUYCpGorkew,PLKnIA16_RmvZ7iKIcJrLjUoFDEeSejRpn,"{'publishedAt': '2021-03-16T13:39:30Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Bagging Ensemble', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/LUiBOAy7x6Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LUiBOAy7x6Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LUiBOAy7x6Y/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/LUiBOAy7x6Y/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Bagging Ensemble', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 3},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvZ7iKIcJrLjUoFDEeSejRpn"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
43,youtube#playlist,f--wmvXre9bPBABbeT1kYrNJM_0,PLKnIA16_RmvYXDBJ5WRDuQRSzFJs93pYR,"{'publishedAt': '2021-03-16T01:12:03Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': 'Image Processing Using OpenCV', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/oUJs03eZ0S8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/oUJs03eZ0S8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/oUJs03eZ0S8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/oUJs03eZ0S8/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'CampusX', 'localized': {'title': 'Image Processing Using OpenCV', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 13},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_RmvYXDBJ5WRDuQRSzFJs93pYR"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
44,youtube#playlist,xTX7rCpNFz0JKVCGwXHzr7UQpYw,PLKnIA16_Rmvbr7zKYQuBfsVkjoLcJgxHH,"{'publishedAt': '2021-03-16T01:11:33Z', 'channelId': 'UCCWi3hpnq_Pe03nGxuS7isg', 'title': '100 Days of Machine Learning', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ZftI2fEz0Fw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZftI2fEz0Fw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZftI2fEz0Fw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ZftI2fEz0Fw/sddefault.jpg', 'width': 640, 'height': 480}}, 'channelTitle': 'CampusX', 'localized': {'title': '100 Days of Machine Learning', 'description': ''}}",{'privacyStatus': 'public'},{'itemCount': 109},"{'embedHtml': '<iframe width=""640"" height=""360"" src=""http://www.youtube.com/embed/videoseries?list=PLKnIA16_Rmvbr7zKYQuBfsVkjoLcJgxHH"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>'}"
